position,cp,dtm,dtz,proven_depth
v_8gAAAA__8TQiUDAAAAEGZmZmZ5qIuXH_8,25,0,0,32798
v_-AAAAA__8TQiUDAAAAEGZmZmZ5qIuXH_8,-50,0,0,32798
_f8BAAAA__8jVBIDAAAAEGZmZmZ5qIuXH_8,-66,0,0,32798
_f8EAAAA__8jVBIDAAAAEGZmZmZ5qIuXH_8,14,0,0,32798
_38AgAAA__8TQiUxAAAAAGZmZmZ5qIuXHwc,-47,0,0,32798
_3-AAAAA__8TQiUxAAAAAGZmZmZ5qIuXH_8,-17,0,0,32798
_78AQAAA__8TQiUxAAAAAGZmZmZ5qIuXHwY,-138,0,0,32798
_79AAAAA__8TQiUxAAAAAGZmZmZ5qIuXH_8,21,0,0,32798
_98AIAAA__8TQiUxAAAAAGZmZmZ5qIuXHwU,-31,0,0,32798
_98gAAAA__8TQiUxAAAAAGZmZmZ5qIuXH_8,-78,0,0,32798
_-8AEAAA__8TQiUxAAAAAGZmZmZ5qIuXHwQ,22,0,0,32798
_-8QAAAA__8TQiUxAAAAAGZmZmZ5qIuXH_8,15,0,0,32798
__cACAAA__8TQiUxAAAAAGZmZmZ5qIuXHwM,25,0,0,32798
__cIAAAA__8TQiUxAAAAAGZmZmZ5qIuXH_8,-13,0,0,32798
__sABAAA__8TQiUxAAAAAGZmZmZ5qIuXHwI,23,0,0,32798
__sEAAAA__8TQiUxAAAAAGZmZmZ5qIuXH_8,0,0,0,32798
__0AAgAA__8TQiUxAAAAAGZmZmZ5qIuXHwE,-24,0,0,32798
__0CAAAA__8TQiUxAAAAAGZmZmZ5qIuXH_8,-17,0,0,32798
__0CAAAB_v8TQiUxAAAAAGZmZmZ5qIuXHv8,20,0,0,32798
__0CAAAC_f8TQiUxAAAAAGZmZmZ5qIuXHv8,33,0,0,32798
__4AAQAA__8TQiUxAAAAAGZmZmZ5qIuXHwA,-21,0,0,32798
__4BAAAA__8TQiUxAAAAAGZmZmZ5qIuXH_8,-8,0,0,32798
__4BAAAB_v8TQiUxAAAAAGZmZmZ5qIuXHv8,19,0,0,32798
__4BAAAC_f8TQiUxAAAAAGZmZmZ5qIuXHv8,47,0,0,32798
__4BAAAE-_8TQiUxAAAAAGZmZmZ5qIuXHv8,15,0,0,32798
__4BAAAE__0TQiUxAAAAAGdmZmaWqIuXHv8,38,0,0,32798
__4BAAAI9_8TQiUxAAAAAGZmZmZ5qIuXHv8,34,0,0,32798
__4BAAAQ7_8TQiUxAAAAAGZmZmZ5qIuXHv8,12,0,0,32798
__4BAAAg3_8TQiUxAAAAAGZmZmZ5qIuXHv8,127,0,0,32798
__4BAAAg_78TQiUxAAAAAGdmZmaWh7qYHv8,-5,0,0,32798
__4BAABAv_8TQiUxAAAAAGZmZmZ5qIuXHv8,-12,0,0,32798
__4BAACAf_8TQiUxAAAAAGZmZmZ5qIuXHv8,35,0,0,32798
__4BAACA_78TQiUxAAAAAGdmZmaWh7qYHv8,76,0,0,32798
__4BAAEA_v8TQiUxAAAAAGZmZmZ5qIuXHgA,82,0,0,32798
__4BAAIA_f8TQiUxAAAAAGZmZmZ5qIuXHgE,50,0,0,32798
__4BAAQA-_8TQiUxAAAAAGZmZmZ5qIuXHgI,-4,0,0,32798
__4BAAgA9_8TQiUxAAAAAGZmZmZ5qIuXHgM,2,0,0,32798
__4BABAA7_8TQiUxAAAAAGZmZmZ5qIuXHgQ,-13,0,0,32798
__4BACAA3_8TQiUxAAAAAGZmZmZ5qIuXHgU,34,0,0,32798
__4BAEAAv_8TQiUxAAAAAGZmZmZ5qIuXHgY,153,0,0,32798
__4BAIAAf_8TQiUxAAAAAGZmZmZ5qIuXHgc,45,0,0,32798
__8AAAAA__8TQiUxAAAAAGZmZmZ5qIuXHv8,30,0,0,32798
