position,cp,dtm,dtz,proven_depth
JFM2QBERABEAACAAAABxAAAAAAAAAAAAd3d8d4q5kKgNAA,316,0,0,32798
BFM2QhERABEAAgAAAABxAAAAAAAAAAAAd3d8d4q5kKgNAA,312,0,0,32798
JAM2QhEREBEAAAAAAAABAAAAB1AAAAAAd3d8d4q5kKgNAA,0,1,0,32798
JFMGQhEREBEAAAAAAAMBAAAABwAAAAAAd3d8d4q5kKgNAA,247,0,0,32798
JFM2QBEREBEAACAAAAABAAAABwAAAAAAd3d8d4q5kKgNAA,313,0,0,32798
BFM2QhEREBEAAgAAAAABAAAABwAAAAAAd3d8d4q5kKgNAA,247,0,0,32798
JFM2QhEBEBEAEAAAAAABAAAABwAAAAAAd3d8d4q5kKgNAA,183,0,0,32798
JFM2QhEREBAAAAABAAABAAAABwAAAAAAd3d8d4q5kKgNAA,169,0,0,32798
JFM2QhEBEBEAAAAAABABAAAABwAAAAAAd3d8d4q5kKgNAA,308,0,0,32798
JFM2QhERABEAAAAAAAARAAAABwAAAAAAd3d8d4q5kKgNAA,349,0,0,32798
BFM2QBERABEAAiAAAABxAAAAAAAAAAAAd3d8d4q5kKgPAA,309,0,0,32798
JFM2QBEBABEAACAAABBxAAAAAAAAAAAAd3d8d4q5kKgPAA,317,0,0,32798
JFM2QBERABEAACAAAAARAAAABwAAAAAAd3d8d4q5kKgPAA,308,0,0,32798
JFMGQBERABEAACAAAABxBwAAAAAAAAAAd3fAcIq5kKgNAA,-268,0,0,32798
JFMGQhEREBEAAAAAAAABAHBwAAAAAAAAdwB3d4q5nKgZ_w,-593,0,0,32798
JFMGQhEREBEAAAAAAAABAABwAAB4AAAABwd3dwq5nKgZ_w,-568,0,0,32798
JFMGQhERABEAAAAAAAARCXBwAAAAAAAAdwB3d4qwnKgZ_w,-809,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,148,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,152,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,187,0,0,32798
JFM2QBEREREAACAAAAAAAAAABwAAAAAAd3dwd4q5nKgcAQ,144,0,0,32798
JFM2QBEREREAAAAgAAAAAAAABwAAAAAAd3dwd4q5nKgcAQ,-60,0,0,32798
BFM2QhERERECAAAAAAAAAAAABwAAAAAAd3dwd4q5nKgcAQ,-71,0,0,32798
BFM2QhEREREAAgAAAAAAAAAABwAAAAAAd3dwd4q5nKgcAQ,19,0,0,32798
JFM2QBEREREAACAAAAAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,28,0,0,32798
JFM2QBEREREAAAAgAAAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,-39,0,0,32798
BFM2QhERERECAAAAAAAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,-5,0,0,32798
BFM2QhEREREAAgAAAAAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,25,0,0,32798
JFM2QBEREREAACAAAAAAAAcAAAAAAAAAcHd3d4q5nKgcAQ,86,0,0,32798
BFM2QhEREREAAgAAAAAAAAcAAAAAAAAAcHd3d4q5nKgcAQ,92,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,151,0,0,32798
JFM2QhAREREBAAAAAAAAAAAABwAAAAAAd3dwd4q5nKgcAQ,-7,0,0,32798
JFM2QhAREREBAAAAAAAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,-9,0,0,32798
JFM2QhAREREBAAAAAAAAAAcAAAAAAAAAcHd3d4q5nKgcAQ,73,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,90,0,0,32798
JFM2QgEREREQAAAAAAAAAAAABwAAAAAAd3dwd4q5nKgcAQ,-23,0,0,32798
JFM2QgEREREQAAAAAAAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,1,0,0,32798
JFM2QgEREREQAAAAAAAAAAcAAAAAAAAAcHd3d4q5nKgcAQ,20,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAcAAAAAd3d3cIq5nKgcAQ,124,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAABwAAAAAAd3dwd4q5nKgcAQ,-4,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAHAAAAAAAAd3B3d4q5nKgcAQ,15,0,0,32798
